,description,category
"('tfmri_nb_all_beh_c2bpfnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_cnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_cnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_cnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2bnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c2bnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c2bnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2bnfnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_cngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_cngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_cngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2bngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c2bngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c2bngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2bngfnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_cplace_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_cplace_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_cplace_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2bp_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c2bp_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c2bp_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2bpnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0b_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c0b_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c0b_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c0bpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c0bpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bpfnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c0bnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c0bnf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bnfnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c0bngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c0bngf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bngfnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bp_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c0bp_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c0bp_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c0bpnl_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('bpm_t_scr_attention_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_scr_attention_nm', 'baseline_year_1_arm_1')",,Behavior
"('bpm_t_ss_attention_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_ss_attention_nm', 'baseline_year_1_arm_1')",,Behavior
"('bpm_t_scr_internal_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_scr_internal_nm', 'baseline_year_1_arm_1')",,Behavior
"('bpm_t_ss_internal_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_ss_internal_nm', 'baseline_year_1_arm_1')",,Behavior
"('bpm_t_scr_external_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_scr_external_nm', 'baseline_year_1_arm_1')",,Behavior
"('bpm_t_ss_external_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_ss_external_nm', 'baseline_year_1_arm_1')",,Behavior
"('bpm_t_scr_totalprob_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_scr_totalprob_nm', 'baseline_year_1_arm_1')",,Behavior
"('bpm_t_ss_totalprob_nm', '1_year_follow_up_y_arm_1')",,Behavior
"('bpm_t_ss_totalprob_nm', 'baseline_year_1_arm_1')",,Behavior
"('su_caff_ss_sum', 'baseline_year_1_arm_1')",,Substance Use
"('su_caff_ss_sum_calc', 'baseline_year_1_arm_1')",,Substance Use
"('su_caff_ss_sum_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_caff_ss_sum_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('aeq_positive_expectancies_ss', '1_year_follow_up_y_arm_1')",,Substance Use
"('aeq_negative_expectancies_ss', '1_year_follow_up_y_arm_1')",,Substance Use
"('ple_p_ss_affected_good_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('tlfb_age_calc_inmonths_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_isip_1b_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('caff_intake_1_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_caff_intake_1_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('caff_intake_3_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_caff_intake_3_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('caff_intake_4_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_caff_intake_4_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('caff_intake_6_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_caff_intake_6_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('caff_intake_9_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_caff_intake_9_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('su_caff_max_calc_l', '1_year_follow_up_y_arm_1')",,Substance Use
"('demo_brthdat_v2_l', '1_year_follow_up_y_arm_1')",,Demographics
"('demo_prnt_age_v2_l', '1_year_follow_up_y_arm_1')",,Demographics
"('demo_prnt_age_v2_l', 'baseline_year_1_arm_1')",,Demographics
"('acs_raked_propensity_score', '1_year_follow_up_y_arm_1')",,Socioeconomic
"('acs_raked_propensity_score', 'baseline_year_1_arm_1')",,Socioeconomic
"('genetic_af_african', 'baseline_year_1_arm_1')",,Socioeconomic
"('genetic_af_european', 'baseline_year_1_arm_1')",,Socioeconomic
"('genetic_af_east_asian', 'baseline_year_1_arm_1')",,Socioeconomic
"('genetic_af_american', 'baseline_year_1_arm_1')",,Socioeconomic
"('ddis_scr_val_indif_point_6h', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_val_indif_pnt_1da', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_val_indif_pnt_1week', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_val_indif_pnt_1mth', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_val_indif_pnt_3mth', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_val_indif_pnt_1yr', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_val_indif_pnt_5yr', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_expr_mnrt_allcho', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_expr_medrt_allcho', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_expr_mnrt_immcho', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_expr_medrt_immedcho', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_expr_mnrt_delaycho', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('ddis_scr_expr_medrt_delaycho', '1_year_follow_up_y_arm_1')",,Neuropsychological Tests
"('hormone_scr_dhea_rep2', 'baseline_year_1_arm_1')",,Physical Exam
"('hormone_scr_ert_mean', '1_year_follow_up_y_arm_1')",,Physical Exam
"('hormone_scr_ert_mean', 'baseline_year_1_arm_1')",,Physical Exam
"('hormone_scr_ert_rep1', '1_year_follow_up_y_arm_1')",,Physical Exam
"('hormone_scr_ert_rep1', 'baseline_year_1_arm_1')",,Physical Exam
"('hormone_scr_ert_rep2', '1_year_follow_up_y_arm_1')",,Physical Exam
"('hormone_scr_ert_rep2', 'baseline_year_1_arm_1')",,Physical Exam
"('meim_p_ss_exp', 'baseline_year_1_arm_1')",,Social Adjustment
"('meim_p_ss_com', 'baseline_year_1_arm_1')",,Social Adjustment
"('meim_p_ss_total', 'baseline_year_1_arm_1')",,Social Adjustment
"('nsc_p_ss_mean_3_items', '1_year_follow_up_y_arm_1')",,Social Adjustment
"('nsc_p_ss_mean_3_items', 'baseline_year_1_arm_1')",,Social Adjustment
"('fes_p_ss_fc_pr', '1_year_follow_up_y_arm_1')",,Social Adjustment
"('fes_p_ss_fc_pr', 'baseline_year_1_arm_1')",,Social Adjustment
