,Latent_Dim47,category,description
"('ple_p_ss_total_number', '1_year_follow_up_y_arm_1')",0.2619713200483821,Mental Health Summary,Total Number of Events
"('asr_scr_somatic_r', 'baseline_year_1_arm_1')_0.0",-0.25817974114512476,Deep Phenotyping Assessments,Somatic Complaints ASR Syndrome Scale (raw score)
"('asr_scr_adhd_r', 'baseline_year_1_arm_1')_0.0",-0.25816350146020606,Deep Phenotyping Assessments,AD/H Problems ASR DSM-5-Oriented Scale (raw score)
"('pps_y_ss_bother_sum_nm', '1_year_follow_up_y_arm_1')",-0.2545618574438987,Mental Health Summary,"Prodromal Psychosis Scale, Number of Yes Responses  to Did it Bother You?  Number Missing Answers"
"('asr_scr_thought_r', 'baseline_year_1_arm_1')_0.0",-0.25248443682753136,Deep Phenotyping Assessments,Thought Problems ASR Syndrome Scale (raw score)
"('cbcl_q103_p', 'baseline_year_1_arm_1')_0.0",-0.2522988701507789,Behavior,"Unhappy, sad, or depressed Infeliz, triste, o deprimido(a)"
"('asr_q102_p', 'baseline_year_1_arm_1')_0.0",-0.25162210678571423,Deep Phenotyping Assessments,"I don't have much energy Soy poco activo(a), lento(a) o me falta energía"
"('pps_y_ss_number', '1_year_follow_up_y_arm_1')",0.2507597129429303,Mental Health Summary,"Prodromal Psychosis Scale: Number of Yes Responses Sum: prodromal_1_y, prodromal_2_y, prodromal_3_y, prodromal_4_y, prodromal_5_y, prodromal_6_y, prodromal_7_y, prodromal_8_y,  prodromal_9_y, prodromal_10_y, prodromal_11_y, prodromal_12_y, prodromal_13_y, prodromal_14_y, [prodromal_15_y,  prodromal_16_y, prodromal_17_y], prodromal_18_y, prodromal_19_y], prodromal_20_y], prodromal_21_y;  No minimum number of answers to be valid"
"('cbcl_q43_p', '1_year_follow_up_y_arm_1')_0.0",-0.24915174715857344,Behavior,Lying or cheating Dice mentiras o hace trampas
"('asr_scr_attention_t', 'baseline_year_1_arm_1')_50.0",-0.24864304599905382,Deep Phenotyping Assessments,Attention Problems ASR Syndrome Scale (t-score)
"('pps_y_ss_bother_n_1_nm', '1_year_follow_up_y_arm_1')",-0.2482146746775785,Mental Health Summary,"Prodromal Psychosis Scale, Number of No Responses  to Did it Bother You?  Number Missing Answers"
"('asr_scr_withdrawn_t', 'baseline_year_1_arm_1')_50.0",-0.2481256051138574,Deep Phenotyping Assessments,Withdrawn ASR Syndrome Scale (t-score)
"('asr_q103_p', 'baseline_year_1_arm_1')_1.0",0.2479088613700951,Deep Phenotyping Assessments,"I am unhappy, sad, or depressed Me siento infeliz, triste o deprimido(a)"
"('cbcl_q102_p', 'baseline_year_1_arm_1')_0.0",-0.24382335420895943,Behavior,"Underactive, slow moving, or lacks energy Poco activo(a), lento(a), o le falta energía"
"('ple_p_ss_total_bad', '1_year_follow_up_y_arm_1')",0.24336164378565114,Mental Health Summary,Total Number of Bad Events
"('cbcl_q86_p', '1_year_follow_up_y_arm_1')_0.0",-0.24318894943716818,Behavior,"Stubborn, sullen, or irritable Obstinado(a), malhumorado(a), irritable"
"('asr_scr_aggressive_t', 'baseline_year_1_arm_1')_50.0",-0.2429251469913149,Deep Phenotyping Assessments,Aggressive Behavior ASR Syndrome Scale (t-score)
"('pps_y_ss_severity_score_nm', '1_year_follow_up_y_arm_1')",-0.24020241924937172,Mental Health Summary,"Prodromal Psychosis, Severity Score:  Number Missing Answers"
"('asr_scr_withdrawn_r', 'baseline_year_1_arm_1')_0.0",-0.23960476237257272,Deep Phenotyping Assessments,Withdrawn ASR Syndrome Scale (raw score)
"('ple_p_ss_affected_bad_sum', '1_year_follow_up_y_arm_1')",0.23955714032090125,Mental Health Summary,How Much Affected Bad Sum
"('asr_q42_p', 'baseline_year_1_arm_1')_0.0",-0.239435732035477,Deep Phenotyping Assessments,I would rather be alone than with others Prefiero más estar solo(a) que con otras personas
"('cbcl_q12_p', 'baseline_year_1_arm_1')_1.0",0.23937133402811878,Behavior,Complains of loneliness Se queja de que se siente solo(a)
"('asr_q45_p', 'baseline_year_1_arm_1')_0.0",-0.237700329916969,Deep Phenotyping Assessments,"I am nervous or tense Soy nervioso(a), o tenso(a)"
"('asr_scr_thought_t', 'baseline_year_1_arm_1')_50.0",-0.23657272268757634,Deep Phenotyping Assessments,Thought Problems ASR Syndrome Scale (t-score)
"('pps_y_ss_severity_score', '1_year_follow_up_y_arm_1')",0.23634569144167852,Mental Health Summary,"Prodromal Psychosis: Severity Score Sum: (prodromal_1b_y, prodromal_2b_y, prodromal_3b_y, prodromal_4b_y, prodromal_5b_y, prodromal_6b_y, prodromal_7b_y, prodromal_8b_y, prodromal_9b_y, prodromal_10b_y, prodromal_11b_y, prodromal_12b_y, prodromal_13b_y, prodromal_14b_y, [prodromal_15b_y, prodromal_16b_y, prodromal_17b_y, prodromal_18b_y, prodromal_19b_y, prodromal_20b_y, prodromal_21b_y) + (pps_y_ss_ bother_n_1), If  this score = """",  then score = pps_y_ss_number;  No minimum number of answers to be valid"
"('ssrs_37_p', '1_year_follow_up_y_arm_1')_1.0",-0.2359720899746484,Social Responsiveness,Has difficulty relating to peers. Tiene dificultades para relacionarse con sus compañeros.
"('asr_q53_p', 'baseline_year_1_arm_1')_0.0",-0.23519621702019275,Deep Phenotyping Assessments,I have trouble planning for the future Me cuesta trabajo planear mi futuro
"('asr_q47_p', 'baseline_year_1_arm_1')_0.0",-0.23509707183858658,Deep Phenotyping Assessments,I lack self-confidence Me falta confianza en mí mismo(a)
"('cbcl_q103_p', 'baseline_year_1_arm_1')_1.0",0.2314992874378978,Behavior,"Unhappy, sad, or depressed Infeliz, triste, o deprimido(a)"
"('cbcl_q109_p', 'baseline_year_1_arm_1')_0.0",-0.23114717224412396,Behavior,Whining Se queja mucho
"('asr_q54_p', 'baseline_year_1_arm_1')_0.0",-0.2298908302236281,Deep Phenotyping Assessments,I feel tired without good reason Me siento demasiado cansado(a) sin razón para estarlo
"('asr_q86_p', 'baseline_year_1_arm_1')_0.0",-0.2297811603726884,Deep Phenotyping Assessments,"I am stubborn, sullen, or irritable Soy obstinado(a), malhumorado(a) o irritable"
"('asr_scr_somatic_t', 'baseline_year_1_arm_1')_50.0",-0.22971130302298862,Deep Phenotyping Assessments,Somatic Complaints ASR Syndrome Scale (t-score)
"('cbcl_q88_p', '1_year_follow_up_y_arm_1')_0.0",-0.22781568363955002,Behavior,"Sulks a lot Queda contrariado(a), pone mala cara con frecuencia"
"('asr_scr_anxdisord_t', 'baseline_year_1_arm_1')_50.0",-0.22635405106778012,Deep Phenotyping Assessments,Anxiety Problems ASR DSM-5-Oriented Scale (t-score)
"('macv_p_ss_fs', '1_year_follow_up_y_arm_1')",-0.22558352513433655,Social Adjustment,"MACVS Family Support Subscale, Mean: (mex_american2_p +  mex_american7_p +  mex_american12_p +  mex_american16_p + [mex_american21_p +  mex_american26_p)/6; Validation: All items must be answered"
"('asr_q71_p', 'baseline_year_1_arm_1')_0.0",-0.2249162869886903,Deep Phenotyping Assessments,I am self-conscious or easily embarrassed Me cohíbo o me avergüenzo con facilidad
"('asr_scr_inattention_r', 'baseline_year_1_arm_1')_0.0",-0.2247671032218712,Deep Phenotyping Assessments,Inattention ASR DSM-5-Oriented Scale (raw score)
"('famhx_ss_momdad_dg_p', 'baseline_year_1_arm_1')_0.0",-0.22396000584883813,Medical History,Either parent with drug use problem
"('famhx_ss_momdad_dg_p', 'baseline_year_1_arm_1')_1.0",0.22396000584883807,Medical History,Either parent with drug use problem
"('asr_q100_p', 'baseline_year_1_arm_1')_0.0",-0.22240324782178097,Deep Phenotyping Assessments,I have trouble sleeping No duermo bien
"('asr_scr_somaticpr_r', 'baseline_year_1_arm_1')_0.0",-0.22126496122435305,Deep Phenotyping Assessments,Somatic Problems ASR DSM-5-Oriented Scale (raw score)
"('asr_q116_p', 'baseline_year_1_arm_1')_0.0",-0.22069255805639676,Deep Phenotyping Assessments,I get upset too easily Me altero fácilmente
"('cbcl_q103_p', '1_year_follow_up_y_arm_1')_0.0",-0.22038452423483929,Behavior,"Unhappy, sad, or depressed Infeliz, triste, o deprimido(a)"
"('asr_scr_depress_r', 'baseline_year_1_arm_1')_0.0",-0.2192722996475312,Deep Phenotyping Assessments,Depressive Problems ASR DSM-5-Oriented Scale (raw score)
"('asr_q123_p', 'baseline_year_1_arm_1')_1.0",0.21910055323642297,Deep Phenotyping Assessments,I am a happy person Soy una persona feliz
"('tfmri_nb_r1_beh_cngf_stdrt', 'baseline_year_1_arm_1')",-0.21842980542853618,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to negative face stimuli during run 1
"('cbcl_q43_p', '1_year_follow_up_y_arm_1')_1.0",0.21766198806955595,Behavior,Lying or cheating Dice mentiras o hace trampas
"('asr_q62_p', 'baseline_year_1_arm_1')_0.0",-0.21657071520014468,Deep Phenotyping Assessments,I am poorly coordinated or clumsy Tengo mala coordinación o torpeza
"('ple_p_ss_affected_mean', '1_year_follow_up_y_arm_1')",0.21620862792538978,Mental Health Summary,How Much Affected Mean
"('asr_q63_p', 'baseline_year_1_arm_1')_0.0",-0.21608041553242033,Deep Phenotyping Assessments,"I would rather be with older people than with people of my own age Prefiero estar con gente mayor que yo, que con gente de mi edad"
"('asr_q55_p', 'baseline_year_1_arm_1')_0.0",-0.21562524684939435,Deep Phenotyping Assessments,My moods swing between elation and depression Mi humor cambia entre euforia y depresión
"('asr_scr_external_r', 'baseline_year_1_arm_1')_0.0",-0.21555715202492912,Deep Phenotyping Assessments,Externalizing Problems ASR Syndrome Scale (raw score)
"('asr_scr_somaticpr_t', 'baseline_year_1_arm_1')_50.0",-0.21529240609573994,Deep Phenotyping Assessments,Somatic Problems ASR DSM-5-Oriented Scale (t-score)
"('cbcl_q102_p', 'baseline_year_1_arm_1')_1.0",0.21525370468829969,Behavior,"Underactive, slow moving, or lacks energy Poco activo(a), lento(a), o le falta energía"
"('stq_y_ss_weekend', '1_year_follow_up_y_arm_1')",0.2150301732631261,Medical History,Screen Time Youth: Weekend Sum: screen7_wknd_y plus screen8_wknd_y plus screen9_wknd_y plus screen10_wknd_y plus screen11_wknd plus screen12_wknd_y; Validation: No minimum
"('asr_scr_attention_r', 'baseline_year_1_arm_1')_0.0",-0.21483494450471902,Deep Phenotyping Assessments,Attention Problems ASR Syndrome Scale (raw score)
"('asr_q69_p', 'baseline_year_1_arm_1')_0.0",-0.21457422002220286,Deep Phenotyping Assessments,"I am secretive or keep things to myself Soy muy reservado(a), me callo todo"
"('cbcl_q71_p', 'baseline_year_1_arm_1')_0.0",-0.2141881767648227,Behavior,Self-conscious or easily embarrassed Se cohíbe y se avergüenza con facilidad
"('asr_q09_p', 'baseline_year_1_arm_1')_0.0",-0.21404280572776993,Deep Phenotyping Assessments,"I can't get my mind off certain thoughts No puedo sacarme de la mente ciertos pensamientos, obsesiones"
"('asr_scr_adhd_t', 'baseline_year_1_arm_1')_50.0",-0.2137031045594721,Deep Phenotyping Assessments,AD/H Problems ASR DSM-5-Oriented Scale (t-score)
"('famhx_ss_parent_dg_p', 'baseline_year_1_arm_1')_0.0",-0.21366619797063396,Medical History,Overall parents drug use problem
"('asr_q50_p', 'baseline_year_1_arm_1')_0.0",-0.21230345477607107,Deep Phenotyping Assessments,I am too fearful or anxious Soy demasiado miedoso(a) o ansioso(a)
"('fam_history_6_yes_no', 'baseline_year_1_arm_1')_0.0",-0.21198261431980892,Medical History,"6. Has ANY blood relative of your child ever suffered from depression, that is, have they felt so low for a period of at least two weeks that they hardly ate or slept or couldn't work or do whatever they usually do? ¿ALGÚN pariente consanguíneo de su niño(a) alguna vez ha sufrido depresión? Es decir, ¿se ha sentido tan decaído por un período de al menos dos semanas en el que apenas comía, dormía o no podía trabajar o hacer lo que normalmente haría?"
"('fam_history_6_yes_no', 'baseline_year_1_arm_1')_1.0",0.21198261431980892,Medical History,"6. Has ANY blood relative of your child ever suffered from depression, that is, have they felt so low for a period of at least two weeks that they hardly ate or slept or couldn't work or do whatever they usually do? ¿ALGÚN pariente consanguíneo de su niño(a) alguna vez ha sufrido depresión? Es decir, ¿se ha sentido tan decaído por un período de al menos dos semanas en el que apenas comía, dormía o no podía trabajar o hacer lo que normalmente haría?"
"('cbcl_q109_p', 'baseline_year_1_arm_1')_1.0",0.21161175090678008,Behavior,Whining Se queja mucho
"('cbcl_q95_p', '1_year_follow_up_y_arm_1')_0.0",-0.21118214886371817,Behavior,Temper tantrums or hot temper Le dan rabietas o tiene mal genio
"('asr_scr_hyperactive_t', 'baseline_year_1_arm_1')_50.0",-0.21044453695180745,Deep Phenotyping Assessments,Hyperactivity-Impulsivity ASR DSM-5-Oriented Scale (t-score)
"('cbcl_scr_syn_anxdep_r', '1_year_follow_up_y_arm_1')_0.0",-0.2086204499448478,Behavior,AnxDep CBCL Syndrome Scale (raw score) = cbcl_q14_p and cbcl_q29_p and cbcl_q30_p and cbcl_q31_p and cbcl_q32_p and cbcl_q33_p and cbcl_q35_p and cbcl_q45_p and cbcl_q50_p and cbcl_q52_p and cbcl_q71_p and cbcl_q91_p and cbcl_q112_p
"('bpm_y_scr_totalprob_t', '1_year_follow_up_y_arm_1')_50.0",-0.20827968661676152,Behavior,T-Score
"('asr_q56c_p', 'baseline_year_1_arm_1')_0.0",-0.20726970948864304,Deep Phenotyping Assessments,"Nausea, feel sick Náuseas"
"('ssrs_37_p', '1_year_follow_up_y_arm_1')_2.0",0.207236519823325,Social Responsiveness,Has difficulty relating to peers. Tiene dificultades para relacionarse con sus compañeros.
"('cbcl_q35_p', '1_year_follow_up_y_arm_1')_0.0",-0.2068769998149635,Behavior,Feels worthless or inferior Se siente inferior o cree que no vale nada
"('asr_q52_p', 'baseline_year_1_arm_1')_0.0",-0.20677033153836002,Deep Phenotyping Assessments,I feel too guilty Me siento demasiado culpable
"('cbcl_q68_p', '1_year_follow_up_y_arm_1')_0.0",-0.2065661116596669,Behavior,Screams a lot Grita mucho
"('famhx_ss_parent_prf_p', 'baseline_year_1_arm_1')_0.0",-0.20647707304686622,Medical History,Overall parents been to a doctor or counselor due to emotional/mental problem
"('asr_q59_p', 'baseline_year_1_arm_1')_0.0",-0.20625368426849344,Deep Phenotyping Assessments,I fail to finish things I should do Dejo sin en terminar lo que empiezo
"('asr_q56b_p', 'baseline_year_1_arm_1')_0.0",-0.2057347508270464,Deep Phenotyping Assessments,Headaches Dolores de cabeza
"('tfmri_nb_r1_beh_c2bngf_stdrt', 'baseline_year_1_arm_1')",-0.20562573123926875,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 2 back with negative face stimuli during run 1
"('famhx_ss_momdad_prf_p', 'baseline_year_1_arm_1')_1.0",0.20548012964498444,Medical History,Either parent been to a doctor or counselor due to emotional/mental problem
"('famhx_ss_momdad_prf_p', 'baseline_year_1_arm_1')_0.0",-0.20548012964498444,Medical History,Either parent been to a doctor or counselor due to emotional/mental problem
"('famhx_ss_moth_prob_prf_p', 'baseline_year_1_arm_1')_1.0",0.20426551618516547,Medical History,mother been to a doctor or counselor due to emotional/mental problem
"('famhx_ss_moth_prob_prf_p', 'baseline_year_1_arm_1')_0.0",-0.20426551618516547,Medical History,mother been to a doctor or counselor due to emotional/mental problem
"('asr_scr_hyperactive_r', 'baseline_year_1_arm_1')_0.0",-0.20372474606380622,Deep Phenotyping Assessments,Hyperactivity-Impulsivity ASR DSM-5-Oriented Scale (raw score)
"('asr_scr_inattention_t', 'baseline_year_1_arm_1')_50.0",-0.20356498343676957,Deep Phenotyping Assessments,Inattention ASR DSM-5-Oriented Scale (t-score)
"('asr_q88_p', 'baseline_year_1_arm_1')_1.0",0.2031054621105535,Deep Phenotyping Assessments,I enjoy being with people Disfruto estar con gente
"('asr_q78_p', 'baseline_year_1_arm_1')_0.0",-0.20295660855826164,Deep Phenotyping Assessments,I have trouble making decisions Me cuesta trabajo tomar decisiones
"('bpm_16_y', '1_year_follow_up_y_arm_1')_0.0",-0.20275755325530903,Behavior,"I have a hot temper  Definition of ""hot temper"": bad temper, get mad easily"
"('asr_q47_p', 'baseline_year_1_arm_1')_1.0",0.2024466220758286,Deep Phenotyping Assessments,I lack self-confidence Me falta confianza en mí mismo(a)
"('asr_q53_p', 'baseline_year_1_arm_1')_1.0",0.20211943641347355,Deep Phenotyping Assessments,I have trouble planning for the future Me cuesta trabajo planear mi futuro
"('cbcl_q12_p', '1_year_follow_up_y_arm_1')_0.0",-0.20196272025446874,Behavior,Complains of loneliness Se queja de que se siente solo(a)
"('asr_q108_p', 'baseline_year_1_arm_1')_0.0",-0.20119574248553032,Deep Phenotyping Assessments,I tend to lose things Pierdo las cosas fácilmente
"('asr_q112_p', 'baseline_year_1_arm_1')_0.0",-0.2011477048487975,Deep Phenotyping Assessments,I worry a lot Me preocupo mucho
"('asr_q107_p', 'baseline_year_1_arm_1')_1.0",0.20086023263840802,Deep Phenotyping Assessments,I feel that I can't succeed Siento que no puedo alcanzar el éxito
"('asr_q56h_p', 'baseline_year_1_arm_1')_0.0",-0.20052611032887074,Deep Phenotyping Assessments,Heart Pounding or racing Palpitaciones aceleradas
"('cbcl_q38_p', '1_year_follow_up_y_arm_1')_0.0",-0.20048143529537907,Behavior,Gets teased a lot Los demás se burlan de él/ella a menudo
"('bpm_y_scr_external_t', '6_month_follow_up_arm_1')_50.0",-0.20034711960068866,Behavior,T-Score
"('asr_q72_p', 'baseline_year_1_arm_1')_0.0",-0.19973614510535312,Deep Phenotyping Assessments,I worry about my family Me preocupo por mi familia
"('sds_p_ss_sbd', '1_year_follow_up_y_arm_1')",0.1997151211456509,Medical History,Sleep Breathing disorders (SBD):  SUM sleepdisturb13_p +  sleepdisturb14_p + sleepdisturb15_p; Validation: All items must be answered
"('cbcl_q86_p', '1_year_follow_up_y_arm_1')_1.0",0.1992034201563687,Behavior,"Stubborn, sullen, or irritable Obstinado(a), malhumorado(a), irritable"
"('asr_scr_anxdep_r', 'baseline_year_1_arm_1')_0.0",-0.1988175016804426,Deep Phenotyping Assessments,Anxious/Depressed ASR Syndrome Scale (raw score)
"('asr_scr_antisocial_r', 'baseline_year_1_arm_1')_0.0",-0.19827717262601538,Deep Phenotyping Assessments,Antisocial Personality Problems ASR DSM-5-Oriented Scale (raw score)
"('asr_q111_p', 'baseline_year_1_arm_1')_0.0",-0.1977233189035636,Deep Phenotyping Assessments,"I keep from getting involved with others Me aíslo, no me relaciono con los demás"
"('asr_q24_p', 'baseline_year_1_arm_1')_0.0",-0.19711902879401402,Deep Phenotyping Assessments,I don't eat as well as I should No como tan bien como debería
"('asr_q13_p', 'baseline_year_1_arm_1')_0.0",-0.19660689044593516,Deep Phenotyping Assessments,I feel confused or in a fog Me siento confundido(a)
"('asr_q75_p', 'baseline_year_1_arm_1')_0.0",-0.19642804422543125,Deep Phenotyping Assessments,I am too shy or timid Soy demasiado tímido(a)
"('asr_scr_rulebreak_r', 'baseline_year_1_arm_1')_0.0",-0.19590649450883693,Deep Phenotyping Assessments,Rule-Breaking Behavior ASR Syndrome Scale (raw score)
"('cbcl_q109_p', '1_year_follow_up_y_arm_1')_0.0",-0.19589536410244732,Behavior,Whining Se queja mucho
"('ssrs_6_p', '1_year_follow_up_y_arm_1')_1.0",-0.19523206938016338,Social Responsiveness,Would rather be alone than with others. Prefiere estar solo(a) que con otros.
"('bpm_y_scr_totalprob_t', '6_month_follow_up_arm_1')_50.0",-0.1947409605658906,Behavior,T-Score
"('asr_q01_p', 'baseline_year_1_arm_1')_0.0",-0.19407953125468563,Deep Phenotyping Assessments,I am too forgetful Soy demasiado olvidadizo(a)
"('cbcl_q42_p', '1_year_follow_up_y_arm_1')_0.0",-0.19380157128149644,Behavior,Would rather be alone than with others Prefiere estar solo(a) que con otras personas
"('ple_mh_p', '1_year_follow_up_y_arm_1')_1.0",0.19197163945500265,Life Events,Family member had mental/emotional problem? ¿Un miembro de la familia a tenido problemas mentales o emocionales?
"('ple_mh_p', '1_year_follow_up_y_arm_1')_0.0",-0.19197163945500262,Life Events,Family member had mental/emotional problem? ¿Un miembro de la familia a tenido problemas mentales o emocionales?
"('bpm_y_scr_attention_t', '6_month_follow_up_arm_1')_50.0",-0.19148393944089398,Behavior,T-Score
"('cbcl_q35_p', '1_year_follow_up_y_arm_1')_1.0",0.19058646142127997,Behavior,Feels worthless or inferior Se siente inferior o cree que no vale nada
"('asr_q115_p', 'baseline_year_1_arm_1')_0.0",-0.19026220856839623,Deep Phenotyping Assessments,I feel restless or fidgety Me siento intranquilo(a) o inquieto(a)
"('bpm_y_scr_external_t', '1_year_follow_up_y_arm_1')_50.0",-0.1901191543396128,Behavior,T-Score
"('asr_q11_p', 'baseline_year_1_arm_1')_0.0",-0.1901136838120446,Deep Phenotyping Assessments,I am too dependent on others Dependo demasiado de otros
"('asr_q86_p', 'baseline_year_1_arm_1')_1.0",0.18982006552250974,Deep Phenotyping Assessments,"I am stubborn, sullen, or irritable Soy obstinado(a), malhumorado(a) o irritable"
"('kbi_p_conflict_causes_l___8', '1_year_follow_up_y_arm_1')_0.0",-0.1895798799767367,Diagnostic (KSADS),"Click the things that cause conflict between you and your child: A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): (8, Moods Estados de ánimo)"
"('kbi_p_conflict_causes_l___8', '1_year_follow_up_y_arm_1')_1.0",0.1895798799767367,Diagnostic (KSADS),"Click the things that cause conflict between you and your child: A continuación, seleccione aquello que causa conflicto entre usted y su niño(a): (8, Moods Estados de ánimo)"
"('cbcl_q88_p', '1_year_follow_up_y_arm_1')_1.0",0.18920420520713654,Behavior,"Sulks a lot Queda contrariado(a), pone mala cara con frecuencia"
"('bpm_5_y', '1_year_follow_up_y_arm_1')_0.0",-0.18904041806440824,Behavior,I have trouble sitting still
"('cbcl_q103_p', '1_year_follow_up_y_arm_1')_1.0",0.18883514316284178,Behavior,"Unhappy, sad, or depressed Infeliz, triste, o deprimido(a)"
"('wps_q3_y', '1_year_follow_up_y_arm_1')_5.0",-0.18857269979121835,Behavior,I think about the choices before I do anything.
"('cbcl_q88_p', 'baseline_year_1_arm_1')_1.0",0.18841398152899094,Behavior,"Sulks a lot Queda contrariado(a), pone mala cara con frecuencia"
"('cbcl_q95_p', '1_year_follow_up_y_arm_1')_2.0",0.1883822093006665,Behavior,Temper tantrums or hot temper Le dan rabietas o tiene mal genio
"('cbcl_q24_p', '1_year_follow_up_y_arm_1')_0.0",-0.18829058522226869,Behavior,Doesn't eat well No come bien
"('asr_q44_p', 'baseline_year_1_arm_1')_2.0",0.1881828756834457,Deep Phenotyping Assessments,I feel overwhelmed by my responsibilities Me siento abrumado(a) con mis responsabilidades
"('asr_q42_p', 'baseline_year_1_arm_1')_1.0",0.18810401493071732,Deep Phenotyping Assessments,I would rather be alone than with others Prefiero más estar solo(a) que con otras personas
"('demo_fam_exp1_v2', 'baseline_year_1_arm_1')_1.0",0.1879033849074143,Demographics,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Needed food but couldn't afford to buy it or couldn't afford to go out to get it? ¿Necesitaban comida pero no les alcanzaba el dinero para comprarla o para salir a comprarla?"
"('demo_fam_exp1_v2', 'baseline_year_1_arm_1')_0.0",-0.1879033849074143,Demographics,"In the past 12 months, has there been a time when you and your immediate family experienced any of the following: Needed food but couldn't afford to buy it or couldn't afford to go out to get it? ¿Necesitaban comida pero no les alcanzaba el dinero para comprarla o para salir a comprarla?"
"('asr_scr_antisocial_t', 'baseline_year_1_arm_1')_50.0",-0.18782838875984073,Deep Phenotyping Assessments,Antisocial Personality Problems ASR DSM-5-Oriented Scale (t-score)
"('cbcl_q57_p', '1_year_follow_up_y_arm_1')_0.0",-0.18776689097693025,Behavior,Physically attacks people Ataca/agrede físicamente a otras personas
"('kbi_p_c_mh_sa_l', '1_year_follow_up_y_arm_1')_1.0",0.1875132244177201,Diagnostic (KSADS),"Since we last saw you, has your child received mental health or substance abuse services? Desde la última vez que nos vimos, ¿su niño(a) ha recibido servicios de salud mental o para el abuso de sustancias?"
"('asr_q46_p', 'baseline_year_1_arm_1')_0.0",-0.18725668454993807,Deep Phenotyping Assessments,Parts of my body twitch or make nervous movements Tengo movimientos involuntarios o tics
"('cbcl_q102_p', '1_year_follow_up_y_arm_1')_0.0",-0.18700030759374425,Behavior,"Underactive, slow moving, or lacks energy Poco activo(a), lento(a), o le falta energía"
"('cbcl_q87_p', '1_year_follow_up_y_arm_1')_2.0",0.18652705263794364,Behavior,Sudden changes in mood or feelings Súbitos cambios de humor o sentimientos
