,Latent_Dim42,category,description
"('cbcl_q56c_p', '1_year_follow_up_y_arm_1')_0.0",0.17954042630874464,Behavior,"Nausea, feels sick Náuseas, ganas de vomitar"
"('cbcl_q87_p', '1_year_follow_up_y_arm_1')_1.0",-0.17946508564975625,Behavior,Sudden changes in mood or feelings Súbitos cambios de humor o sentimientos
"('ksads_1_187_p', 'baseline_year_1_arm_1')_0.0",-0.17924521945656013,Diagnostic (KSADS),Symptom - No two month symptom-free interval Present
"('ksads_1_187_p', 'baseline_year_1_arm_1')_1.0",0.17924521945656013,Diagnostic (KSADS),Symptom - No two month symptom-free interval Present
"('cbcl_q95_p', 'baseline_year_1_arm_1')_2.0",-0.17888301253870761,Behavior,Temper tantrums or hot temper Le dan rabietas o tiene mal genio
"('cbcl_q89_p', '1_year_follow_up_y_arm_1')_0.0",0.17702104051775078,Behavior,"Suspicious Desconfiado(a), receloso(a)"
"('ksads_1_187_t', 'baseline_year_1_arm_1')_0.0",-0.1767707171891009,Diagnostic (KSADS),"Symptom - No two month symptom-free interval, Present"
"('ksads_1_187_t', 'baseline_year_1_arm_1')_1.0",0.1767707171891009,Diagnostic (KSADS),"Symptom - No two month symptom-free interval, Present"
"('cbcl_q49_p', '1_year_follow_up_y_arm_1')_0.0",0.17429783995076964,Behavior,"Constipated, doesn't move bowels Padece de estreñimiento"
"('cbcl_q95_p', '1_year_follow_up_y_arm_1')_2.0",-0.17387408369289273,Behavior,Temper tantrums or hot temper Le dan rabietas o tiene mal genio
"('cbcl_q86_p', '1_year_follow_up_y_arm_1')_2.0",-0.17166790980783705,Behavior,"Stubborn, sullen, or irritable Obstinado(a), malhumorado(a), irritable"
"('sleepdisturb5_p', 'baseline_year_1_arm_1')_1.0",0.17031644641185523,Sleep,The child feels anxious or afraid when falling asleep. El niño / la niña siente ansiedad o miedo cuando se está quedando dormido(a).
"('demo_prnt_empl_v2', 'baseline_year_1_arm_1')_1.0",0.16873531985815945,Demographics,"Are you working now, looking for work, retired, stay at home parent, a student, or something else? ¿Trabaja actualmente, está buscando trabajo, está retirado, se dedica al hogar, estudia o realiza alguna otra actividad?"
"('sleepdisturb5_p', '1_year_follow_up_y_arm_1')_1.0",0.1675384821239302,Sleep,The child feels anxious or afraid when falling asleep. El niño / la niña siente ansiedad o miedo cuando se está quedando dormido(a).
"('tfmri_nb_r2_beh_c0bpnl_stdrt', 'baseline_year_1_arm_1')",-0.16750019587579784,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 0 back with place nonlure stimuli during run 2
"('cbcl_q100_p', '1_year_follow_up_y_arm_1')_1.0",-0.16649873639290066,Behavior,Trouble sleeping No duerme bien
"('cbcl_q05_p', '1_year_follow_up_y_arm_1')_2.0",-0.16585342895299776,Behavior,There is very little they enjoy
"('bpm_18_y', '1_year_follow_up_y_arm_1')_1.0",-0.16537758247987466,Behavior,"I am unhappy, sad, or depressed"
"('gen_child_behav_7', '1_year_follow_up_y_arm_1')_2.0",-0.16501780683638792,Deep Phenotyping Assessments,"Have you ever found that your child's feelings or energy are generally up or down, but rarely in the middle?  ¿Ha notado que los sentimientos o los niveles de energía de su niño(a) generalmente son altos o bajos, pero rara vez se encuentran en un punto medio?"
"('sleepdisturb11_p', '1_year_follow_up_y_arm_1')_1.0",0.1647281138940884,Sleep,"After waking up in the night, the child has difficulty to fall asleep again. Después de despertarse en la noche, el niño / la niña tiene dificultad para quedarse dormido(a) de nuevo."
"('cbcl_q56a_p', '1_year_follow_up_y_arm_1')_0.0",0.16402349793992138,Behavior,Aches or pains (not stomach or headaches) Dolores o molestias (sin que sean del estómago o dolores de cabeza)
"('gen_child_behav_5', '1_year_follow_up_y_arm_1')_0.0",0.1631180274760836,Deep Phenotyping Assessments,"Have there been times of several days or more when, although your child was feeling unusually happy and intensely energetic (clearly more than his/her usual self), he/she also had to struggle very hard to control inner feelings of rage or an urge to smash or destroy things? ¿Han habido períodos de varios días o más en los que, a pesar de sentirse inusualmente feliz y con un nivel intenso de energía (claramente más de lo normal para él/ella), también tuvo su niño(a) que batallar muy duro para controlar sus sentimientos internos de ira o una necesidad de destrozar o destruir cosas?"
"('sleepdisturb3_p', '1_year_follow_up_y_arm_1')_4.0",-0.16147390181838034,Sleep,The child goes to bed reluctantly. El niño/ la niña se va a la cama de mala gana.
"('cbcl_q89_p', '1_year_follow_up_y_arm_1')_1.0",-0.16125598186710988,Behavior,"Suspicious Desconfiado(a), receloso(a)"
"('cbcl_q100_p', 'baseline_year_1_arm_1')_1.0",-0.1583913346233153,Behavior,Trouble sleeping No duerme bien
"('bpm_18_y', '1_year_follow_up_y_arm_1')_0.0",0.15819962131533147,Behavior,"I am unhappy, sad, or depressed"
"('tfmri_nb_r1_beh_c2bnfnl_stdrt', 'baseline_year_1_arm_1')",-0.15761027210110246,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 2 back with neutral face nonlure stimuli during run 1
"('sleepdisturb22_p', '1_year_follow_up_y_arm_1')_1.0",0.15699757514533272,Sleep,The child is unusuallly difficult to wake up in the morning. Es inusualmente difícil despertar al niño / la niña en la mañana.
"('cbcl_q97_p', 'baseline_year_1_arm_1')_1.0",-0.15683598837804813,Behavior,Threatens people Amenaza a otros
"('sleepdisturb25_p', 'baseline_year_1_arm_1')_1.0",0.15666411697043822,Sleep,The child experiences daytime sleepiness.  El niño / la niña siente sueño durante el día.
"('tfmri_nb_r2_beh_c2bp_stdrt', 'baseline_year_1_arm_1')",-0.156547537743129,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 2 back with place stimuli during run 2
"('cbcl_q56f_p', '1_year_follow_up_y_arm_1')_1.0",-0.1558598027834207,Behavior,Stomachaches Dolores de estómago
"('cbcl_q56c_p', '1_year_follow_up_y_arm_1')_1.0",-0.15454419494400704,Behavior,"Nausea, feels sick Náuseas, ganas de vomitar"
"('asr_q95_p', 'baseline_year_1_arm_1')_2.0",-0.15414088987236976,Deep Phenotyping Assessments,I have a hot temper Me dan rabietas o tengo mal genio
"('reshist_addr1_no2_2016_max', 'baseline_year_1_arm_1')",-0.15393866967008824,Socioeconomic,Residential history derived - maximum of NO2 in 2016 at primary residential address at 1x1km2
"('sleepdisturb22_p', '1_year_follow_up_y_arm_1')_5.0",-0.15316252592944038,Sleep,The child is unusuallly difficult to wake up in the morning. Es inusualmente difícil despertar al niño / la niña en la mañana.
"('sleepdisturb23_p', '1_year_follow_up_y_arm_1')_1.0",0.15268845937163703,Sleep,The child awakes in the morning feeling tired. El niño / la niña se despierta en la mañana sintiéndose cansado(a).
"('cbcl_q56a_p', 'baseline_year_1_arm_1')_0.0",0.1515475824403568,Behavior,Aches or pains (not stomach or headaches) Dolores o molestias (sin que sean del estómago o dolores de cabeza)
"('sleepdisturb25_p', 'baseline_year_1_arm_1')_3.0",-0.15032132645703775,Sleep,The child experiences daytime sleepiness.  El niño / la niña siente sueño durante el día.
"('ksads_9_867_p', 'baseline_year_1_arm_1')_0.0",0.14998659485255195,Diagnostic (KSADS),Diagnosis - Specific Phobia ξPRESENT (F40.2XX)
"('ksads_9_867_p', 'baseline_year_1_arm_1')_1.0",-0.14998659485255195,Diagnostic (KSADS),Diagnosis - Specific Phobia ξPRESENT (F40.2XX)
"('cbcl_q68_p', 'baseline_year_1_arm_1')_2.0",-0.148796699802159,Behavior,Screams a lot Grita mucho
"('cbcl_q49_p', '1_year_follow_up_y_arm_1')_1.0",-0.14804464810124265,Behavior,"Constipated, doesn't move bowels Padece de estreñimiento"
"('demo_prnt_race_a_v2_l___10', '1_year_follow_up_y_arm_1')_1.0",0.14710833026822706,Demographics,"What race do you consider yourself to be? Please check all that apply. ¿De qué raza se considera usted? Seleccione 1 o más de estas categorías: (10, White Blanca)"
"('demo_prnt_race_a_v2_l___10', '1_year_follow_up_y_arm_1')_0.0",-0.14710833026822706,Demographics,"What race do you consider yourself to be? Please check all that apply. ¿De qué raza se considera usted? Seleccione 1 o más de estas categorías: (10, White Blanca)"
"('ksads_9_37_p', 'baseline_year_1_arm_1')_0.0",0.14615309013970715,Diagnostic (KSADS),Symptom - Active avoidance of phobic object Present
"('ksads_9_37_p', 'baseline_year_1_arm_1')_1.0",-0.14615309013970715,Diagnostic (KSADS),Symptom - Active avoidance of phobic object Present
"('ksads_1_3_p', 'baseline_year_1_arm_1')_0.0",0.14544531460751456,Diagnostic (KSADS),Symptom - Irritability Present
"('ksads_1_3_p', 'baseline_year_1_arm_1')_1.0",-0.14544531460751448,Diagnostic (KSADS),Symptom - Irritability Present
"('cbcl_q56a_p', '1_year_follow_up_y_arm_1')_1.0",-0.14195994191403652,Behavior,Aches or pains (not stomach or headaches) Dolores o molestias (sin que sean del estómago o dolores de cabeza)
"('ksads_15_432_p', 'baseline_year_1_arm_1')_0.0",0.13983702428600675,Diagnostic (KSADS),Symptom - Often touchy or easily annoyed Present
"('ksads_15_432_p', 'baseline_year_1_arm_1')_1.0",-0.13983702428600672,Diagnostic (KSADS),Symptom - Often touchy or easily annoyed Present
"('cbcl_q56a_p', 'baseline_year_1_arm_1')_1.0",-0.1392595419235426,Behavior,Aches or pains (not stomach or headaches) Dolores o molestias (sin que sean del estómago o dolores de cabeza)
"('asr_q121_p', 'baseline_year_1_arm_1')_0.0",0.13921194534658565,Deep Phenotyping Assessments,I tend to be late for appointments Usualmente llego tarde a mis compromisos
"('asr_q50_p', 'baseline_year_1_arm_1')_2.0",-0.13824803414097867,Deep Phenotyping Assessments,I am too fearful or anxious Soy demasiado miedoso(a) o ansioso(a)
"('sleepdisturb24_p', 'baseline_year_1_arm_1')_1.0",0.137372529759387,Sleep,The child feels unable to move when waking up in the morning. El niño / la niña siente que no puede moverse cuando se despierta en la mañana.
"('sleepdisturb4_p', 'baseline_year_1_arm_1')_5.0",-0.1373230917947096,Sleep,The child has difficulty getting to sleep at night. El niño / la niña tiene dificultad quedándose dormido(a) en la noche.
"('sai_ss_basket_perwk_p', 'baseline_year_1_arm_1')_3.0",0.13711686532826495,Extracurricular,Basketball
"('fam_enviro1_p', '1_year_follow_up_y_arm_1')_0.0",0.13637678116876795,Parent Characteristics,We fight a lot in our family. /Peleamos mucho en nuestra familia.
"('fam_enviro1_p', '1_year_follow_up_y_arm_1')_1.0",-0.13637678116876792,Parent Characteristics,We fight a lot in our family. /Peleamos mucho en nuestra familia.
"('cbcl_q56h_p', '1_year_follow_up_y_arm_1')_0.0",0.13606426824414897,Behavior,Other (physical problems without known physical cause) Otros (problemas físicos sin causa médica conocida)
"('sleepdisturb5_p', '1_year_follow_up_y_arm_1')_4.0",-0.13603550148939217,Sleep,The child feels anxious or afraid when falling asleep. El niño / la niña siente ansiedad o miedo cuando se está quedando dormido(a).
"('tfmri_nb_r2_beh_c2bpnl_stdrt', 'baseline_year_1_arm_1')",-0.13526800479222056,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 2 back with place nonlure stimuli during run 2
"('cbcl_q74_p', '1_year_follow_up_y_arm_1')_2.0",-0.13509715645528517,Behavior,"Showing off or clowning Le gusta llamar la atención o hacerse el/la payaso(a), gracioso(a)"
"('pea_ravlt_ld_trial_vii_tr', 'baseline_year_1_arm_1')",-0.13489470514518187,Cognitive Capacity,RAVLT Long Delay Trial VII Total Repetitions
"('demo_prnt_empl_v2', 'baseline_year_1_arm_1')_6.0",-0.1347506902649197,Demographics,"Are you working now, looking for work, retired, stay at home parent, a student, or something else? ¿Trabaja actualmente, está buscando trabajo, está retirado, se dedica al hogar, estudia o realiza alguna otra actividad?"
"('ksads_5_270_p', 'baseline_year_1_arm_1')_0.0",0.1336234618017644,Diagnostic (KSADS),Symptom - Attacks not attributable to substance use Past
"('ksads_5_270_p', 'baseline_year_1_arm_1')_1.0",-0.1336234618017644,Diagnostic (KSADS),Symptom - Attacks not attributable to substance use Past
"('ddis_scr_val_indif_pnt_5yr', '1_year_follow_up_y_arm_1')",0.13344900920838992,Neuropsychological Tests,"5-year delay ""indifference point""; The proportion of the maximum ($100) reward that, if presented immediately, was equal in subjective value to the maximum ($100) reward if the subject had to wait five years to receive the maximum."
"('ksads_9_41_p', 'baseline_year_1_arm_1')_0.0",0.13319774959846564,Diagnostic (KSADS),Symptom - Distress due to fear or avoidance of phobic object Present
"('ksads_9_41_p', 'baseline_year_1_arm_1')_1.0",-0.13319774959846561,Diagnostic (KSADS),Symptom - Distress due to fear or avoidance of phobic object Present
"('tfmri_nb_all_beh_c0bpft_stdrt', 'baseline_year_1_arm_1')",-0.13180855265695993,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 0 back with positive face target stimuli during run 1 and run 2
"('ssrs_6_p', '1_year_follow_up_y_arm_1')_3.0",-0.13141328428220017,Social Responsiveness,Would rather be alone than with others. Prefiere estar solo(a) que con otros.
"('cbcl_scr_syn_anxdep_r', '1_year_follow_up_y_arm_1')_10.0",-0.13117899604549826,Behavior,AnxDep CBCL Syndrome Scale (raw score) = cbcl_q14_p and cbcl_q29_p and cbcl_q30_p and cbcl_q31_p and cbcl_q32_p and cbcl_q33_p and cbcl_q35_p and cbcl_q45_p and cbcl_q50_p and cbcl_q52_p and cbcl_q71_p and cbcl_q91_p and cbcl_q112_p
"('ksads_22_141_p', 'baseline_year_1_arm_1')_0.0",0.13048570318956715,Diagnostic (KSADS),Symptom - Insomnia Present
"('ksads_22_141_p', 'baseline_year_1_arm_1')_1.0",-0.13048570318956715,Diagnostic (KSADS),Symptom - Insomnia Present
"('gen_child_behav_5', '1_year_follow_up_y_arm_1')_1.0",-0.1292284792598856,Deep Phenotyping Assessments,"Have there been times of several days or more when, although your child was feeling unusually happy and intensely energetic (clearly more than his/her usual self), he/she also had to struggle very hard to control inner feelings of rage or an urge to smash or destroy things? ¿Han habido períodos de varios días o más en los que, a pesar de sentirse inusualmente feliz y con un nivel intenso de energía (claramente más de lo normal para él/ella), también tuvo su niño(a) que batallar muy duro para controlar sus sentimientos internos de ira o una necesidad de destrozar o destruir cosas?"
"('gen_child_behav_9', 'baseline_year_1_arm_1')_2.0",-0.12914369653974236,Deep Phenotyping Assessments,"Have there been periods when, although your child was feeling unusually happy and intensely energetic, almost everything got on his/her nerves and made him/her irritable or angry (other than related to the menstrual cycle)? ¿Han habido períodos (no relacionados con el ciclo menstrual) en los que, a pesar de sentirse inusualmente feliz y con un nivel intenso de energía, casi todo lo/la sacaba de quicio o lo/la hacía sentirse irritable o enojado(a)?"
"('demo_prnt_income_v2', 'baseline_year_1_arm_1')_1.0",-0.12889530767420607,Demographics,"How much did you earn, before taxes and other deductions, during the past 12 months? ¿Cuál fue su ingreso, antes de impuestos y otras deducciones, en los últimos 12 meses?"
"('tfmri_nb_r2_beh_c2bnft_stdrt', 'baseline_year_1_arm_1')",-0.1272221163910451,Neuropsychological Tests,Standard deviation of the reaction time for all correct responses to 2 back with neutral face target stimuli during run 2
"('cbcl_q27_p', 'baseline_year_1_arm_1')_2.0",-0.12712861148639476,Behavior,Easily jealous Se pone celoso(a) facilmente
"('gen_child_behav_3', '1_year_follow_up_y_arm_1')_2.0",-0.1266230770822389,Deep Phenotyping Assessments,Has your child's mood or energy shifted rapidly back and forth from happy to sad or high to low? ¿El estado de ánimo o la energía de su niño(a) ha tenido cambios abruptos de felicidad a tristeza o de euforia a decaimiento y vice versa?
"('sleepdisturb11_p', '1_year_follow_up_y_arm_1')_2.0",-0.12647005787533333,Sleep,"After waking up in the night, the child has difficulty to fall asleep again. Después de despertarse en la noche, el niño / la niña tiene dificultad para quedarse dormido(a) de nuevo."
"('ksads_22_969_p', 'baseline_year_1_arm_1')_0.0",0.12609824685250795,Diagnostic (KSADS),Diagnosis - SLEEP PROBLEMS Present
"('ksads_22_969_p', 'baseline_year_1_arm_1')_1.0",-0.1260982468525079,Diagnostic (KSADS),Diagnosis - SLEEP PROBLEMS Present
"('ksads_13_75_p', '1_year_follow_up_y_arm_1')_1.0",-0.1244808916853574,Diagnostic (KSADS),Symptom - Binge Eating Past
"('ksads_13_75_p', '1_year_follow_up_y_arm_1')_0.0",0.12448089168535738,Diagnostic (KSADS),Symptom - Binge Eating Past
"('cbcl_q40_p', '1_year_follow_up_y_arm_1')_0.0",0.12428163572961193,Behavior,Hears sound or voices that aren't there Oye sonidos o voces que no existen
"('cbcl_q40_p', '1_year_follow_up_y_arm_1')_1.0",-0.12428163572961187,Behavior,Hears sound or voices that aren't there Oye sonidos o voces que no existen
"('sleepdisturb23_p', '1_year_follow_up_y_arm_1')_5.0",-0.12395680891744255,Sleep,The child awakes in the morning feeling tired. El niño / la niña se despierta en la mañana sintiéndose cansado(a).
"('cbcl_q63_p', '1_year_follow_up_y_arm_1')_2.0",-0.12366318039661055,Behavior,Prefers being with older kids Prefiere estar con niños(as) mayores que él/ella
"('ssrs_16_p', '1_year_follow_up_y_arm_1')_3.0",-0.12237032305412211,Social Responsiveness,Avoids eye contact or has unusual eye contact. Evita el contacto con los ojos o tiene contacto visual inusual.
"('cbcl_q56d_p', 'baseline_year_1_arm_1')_0.0",0.12229534073964048,Behavior,Problems with eyes (not if corrected by glasses)  Problemas con los ojos (no incluya si se corrigió con gafas/lentes/espejuelos)
"('cbcl_q56h_p', '1_year_follow_up_y_arm_1')_1.0",-0.12122262631481935,Behavior,Other (physical problems without known physical cause) Otros (problemas físicos sin causa médica conocida)
"('scrn_hr_sleep', 'screener_arm_1')_1.0",-0.12037861586253444,Deep Phenotyping Assessments,Sleeps well? ¿Duerme bien?
"('pea_ravlt_sd_trial_v_tr', 'baseline_year_1_arm_1')",-0.12013390394591253,Cognitive Capacity,RAVLT Short Delay Trial V Total Repetitions
"('ksads_2_220_p', 'baseline_year_1_arm_1')_0.0",0.11978147279384238,Diagnostic (KSADS),Symptom - Lasting at least one week Past
"('ksads_2_220_p', 'baseline_year_1_arm_1')_1.0",-0.11978147279384237,Diagnostic (KSADS),Symptom - Lasting at least one week Past
"('cbcl_q26_p', 'baseline_year_1_arm_1')_2.0",-0.1195739778957381,Behavior,Doesn't seem to feel guilty after misbehaving No parece sentirse culpable después de portarse mal
"('asr_q85_p', 'baseline_year_1_arm_1')_2.0",-0.11950304715056792,Deep Phenotyping Assessments,I have thoughts that other people would think are strange Tengo ideas que otras personas pensarían que son extrañas
"('sai_p_activities_l___1', '1_year_follow_up_y_arm_1')_1.0",0.11938365189460219,Extracurricular,"(1, Baseball,  Softball  Béisbol,  Softbol)"
"('sai_p_activities_l___1', '1_year_follow_up_y_arm_1')_0.0",-0.11938365189460219,Extracurricular,"(1, Baseball,  Softball  Béisbol,  Softbol)"
"('sleepdisturb23_p', '1_year_follow_up_y_arm_1')_3.0",-0.11928302492654767,Sleep,The child awakes in the morning feeling tired. El niño / la niña se despierta en la mañana sintiéndose cansado(a).
"('pea_ravlt_sd_trial_vi_tr', 'baseline_year_1_arm_1')",-0.11851267342333274,Cognitive Capacity,RAVLT Short Delay Trial VI Total Repetitions
"('cbcl_q56f_p', 'baseline_year_1_arm_1')_2.0",-0.1181645079930416,Behavior,Stomachaches Dolores de estómago
"('bpm_16_y', '6_month_follow_up_arm_1')_1.0",-0.11670430798753266,Behavior,"I have a hot temper  Definition of ""hot temper"": bad temper, get mad easily"
"('sleepdisturb24_p', 'baseline_year_1_arm_1')_3.0",-0.11661791839602742,Sleep,The child feels unable to move when waking up in the morning. El niño / la niña siente que no puede moverse cuando se despierta en la mañana.
"('fhx_3b_p', 'baseline_year_1_arm_1')",-0.11614002768935819,Medical History,# sister (s) # de hermana(s)
"('asr_q84_p', 'baseline_year_1_arm_1')_2.0",-0.11584618044283201,Deep Phenotyping Assessments,I do things that other people think are strange Hago cosas que otras personas piensan que son extrañas
"('cbcl_q56d_p', 'baseline_year_1_arm_1')_1.0",-0.11573745853963369,Behavior,Problems with eyes (not if corrected by glasses)  Problemas con los ojos (no incluya si se corrigió con gafas/lentes/espejuelos)
"('pea_ravlt_sd_trial_i_tr', 'baseline_year_1_arm_1')",-0.11569089996894058,Cognitive Capacity,RAVLT Short Delay Trial I Total Repetitions
"('sai_ss_base_perwk_p_l', '1_year_follow_up_y_arm_1')_0.0",-0.11560439354867133,Extracurricular,"Baseball, Softball
About how many days per week?"
"('sleepdisturb21_p', '1_year_follow_up_y_arm_1')_3.0",-0.11440458140385151,Sleep,The child has nightmares which they don't remember the next day.
"('bpm_y_scr_external_t', '6_month_follow_up_arm_1')_55.0",-0.11423124619090372,Behavior,T-Score
"('sleepdisturb2_p', '1_year_follow_up_y_arm_1')_1.0",0.11335878439760073,Sleep,How long after going to bed does your child usually fall asleep? Después de acostarse ¿generalmente cuánto tiempo tarda su niño(a) en quedarse dormido(a)?
"('bpm_y_scr_external_r', '6_month_follow_up_arm_1')_4.0",-0.11243904946349471,Behavior,Raw Score: bpm_2_y plus bpm_6_y plus bpm_7_y plus bpm_8_y plus bpm_15_y plus bpm_16_y plus bpm_17_y; Validation: All items must be answered
"('sleepdisturb2_p', 'baseline_year_1_arm_1')_5.0",-0.1120987459902686,Sleep,How long after going to bed does your child usually fall asleep? Después de acostarse ¿generalmente cuánto tiempo tarda su niño(a) en quedarse dormido(a)?
"('sleepdisturb13_p', 'baseline_year_1_arm_1')_2.0",-0.11174633473713401,Sleep,The child has difficulty in breathing during the night. El niño / la niña tiene dificultad respirando durante la noche.
"('asr_q93_p', 'baseline_year_1_arm_1')_2.0",-0.1105962471126008,Deep Phenotyping Assessments,I talk too much Hablo demasiado
"('cbcl_q56b_p', '1_year_follow_up_y_arm_1')_2.0",-0.10890312718662704,Behavior,Headaches Dolores de cabeza
"('asr_scr_depress_t', 'baseline_year_1_arm_1')_67.0",-0.10877130585743351,Deep Phenotyping Assessments,Depressive Problems ASR DSM-5-Oriented Scale (t-score)
"('cbcl_q56e_p', '1_year_follow_up_y_arm_1')_0.0",0.10867170481883114,Behavior,Rashes or other skin problems Salpullido o irritación en la piel
"('cbcl_q107_p', 'baseline_year_1_arm_1')_0.0",0.10767643240612157,Behavior,Wets self during the day Se orina en la ropa durante el día
